star_rating,title,content_rating,genre,duration,actors_list
8.7,The Usual Suspects,R,Crime,106,"'Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri'"
8.7,Se7en,R,Drama,127,"'Morgan Freeman', 'Brad Pitt', 'Kevin Spacey'"
8.6,Life Is Beautiful,PG-13,Comedy,116,"'Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini'"
8.6,Once Upon a Time in the West,PG-13,Western,175,"'Henry Fonda', 'Charles Bronson', 'Cladia Cardinale'"
8.6,The Silence of the Lambs,R,Drama,118,"'Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney'"
8.6,Leon: The Professional,R,Crime,110,"'Jean Reno', 'Gary Oldman', 'Natalie Portman'"
8.6,City Lights,PASSED,Comedy,87,"'Charles Chaplin', 'Virginia Cherrill', 'Florence Lee'"
8.6,Spirited Away,PG,Animation,125,"'Daveigh Chase', 'Szanne Pleshette', 'Miy Irino'"
8.6,The Intouchables,R,Biography,112,"'Fran\xe7ois Clzet', 'Omar Sy', 'Anne Le Ny'"
8.6,Casablanca,PG,Drama,102,"'Hmphrey Bogart', 'Ingrid Bergman', 'Pal Henreid'"
8.6,Whiplash,R,Drama,107,"'Miles Teller', 'J.K. Simmons', 'Melissa Benoist'"
8.6,American History X,R,Crime,119,"'Edward Norton', 'Edward Frlong', ""Beverly D'Angelo"""
8.6,Modern Times,G,Comedy,87,"'Charles Chaplin', 'Palette Goddard', 'Henry Bergman'"
8.6,Saving Private Ryan,R,Action,169,"'Tom Hanks', 'Matt Damon', 'Tom Sizemore'"
8.6,Raiders of the Lost Ark,PG,Action,115,"'Harrison Ford', 'Karen Allen', 'Pal Freeman'"
8.6,Rear Window,APPROVED,Mystery,112,"'James Stewart', 'Grace Kelly', 'Wendell Corey'"
8.6,Psycho,R,Horror,109,"'Anthony Perkins', 'Janet Leigh', 'Vera Miles'"
8.5,The Green Mile,R,Crime,189,"'Tom Hanks', 'Michael Clarke Dncan', 'David Morse'"
8.5,Sunset Blvd.,NOT RATED,Drama,110,"'William Holden', 'Gloria Swanson', 'Erich von Stroheim'"
8.5,The Pianist,R,Biography,150,"'Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay'"
8.5,The Dark Knight Rises,PG-13,Action,165,"'Christian Bale', 'Tom Hardy', 'Anne Hathaway'"
8.5,Gladiator,R,Action,155,"'Rssell Crowe', 'Joaqin Phoenix', 'Connie Nielsen'"
8.5,Terminator 2: Judgment Day,R,Action,137,"'Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Frlong'"
8.5,Memento,R,Mystery,113,"'Gy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano'"
8.5,Taare Zameen Par,PG,Drama,165,"'Darsheel Safary', 'Aamir Khan', 'Tanay Chheda'"
8.5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,PG,Comedy,95,"'Peter Sellers', 'George C. Scott', 'Sterling Hayden'"
8.5,The Departed,R,Crime,151,"'Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson'"
8.5,Cinema Paradiso,R,Drama,155,"'Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili'"
8.5,Apocalypse Now,R,Drama,153,"'Martin Sheen', 'Marlon Brando', 'Robert Dvall'"
8.5,The Great Dictator,APPROVED,Comedy,125,"'Charles Chaplin', 'Palette Goddard', 'Jack Oakie'"
8.5,The Prestige,PG-13,Drama,130,"'Christian Bale', 'Hgh Jackman', 'Scarlett Johansson'"
8.5,Back to the Future,PG,Adventure,116,"'Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson'"
8.5,The Lion King,G,Animation,89,"'Matthew Broderick', 'Jeremy Irons', 'James Earl Jones'"
8.5,The Lives of Others,R,Drama,137,"'Ulrich M\xfche', 'Martina Gedeck', 'Sebastian Koch'"
8.5,Alien,R,Horror,117,"'Sigorney Weaver', 'Tom Skerritt', 'John Hrt'"
8.5,Paths of Glory,APPROVED,Drama,88,"'Kirk Doglas', 'Ralph Meeker', 'Adolphe Menjo'"
8.5,Django Unchained,R,Western,165,"'Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio'"
8.5,3 Idiots,PG-13,Comedy,170,"'Aamir Khan', 'Madhavan', 'Mona Singh'"
8.5,Grave of the Fireflies,UNRATED,Animation,89,"'Tstom Tatsmi', 'Ayano Shiraishi', 'Akemi Yamagchi'"
8.5,The Shining,R,Horror,146,"'Jack Nicholson', 'Shelley Dvall', 'Danny Lloyd'"
8.4,M,NOT RATED,Crime,99,"'Peter Lorre', 'Ellen Widmann', 'Inge Landgt'"
8.4,WALL-E,G,Animation,98,"'Ben Brtt', 'Elissa Knight', 'Jeff Garlin'"
8.4,Witness for the Prosecution,APPROVED,Crime,116,"'Tyrone Power', 'Marlene Dietrich', 'Charles Laghton'"
8.4,Munna Bhai M.B.B.S.,NOT RATED,Comedy,156,"'Snil Dtt', 'Sanjay Dtt', 'Arshad Warsi'"
8.4,American Beauty,R,Drama,122,"'Kevin Spacey', 'Annette Bening', 'Thora Birch'"
8.4,Das Boot,R,Adventure,149,"'J\xfcrgen Prochnow', 'Herbert Gr\xf6nemeyer', 'Klas Wennemann'"
8.4,Princess Mononoke,PG-13,Animation,134,"'Y\xf4ji Matsda', 'Yriko Ishida', 'Y\xfbko Tanaka'"
8.4,Amelie,R,Comedy,122,"'Adrey Tato', 'Mathie Kassovitz', 'Rfs'"
8.4,North by Northwest,APPROVED,Adventure,136,"'Cary Grant', 'Eva Marie Saint', 'James Mason'"
8.4,Rang De Basanti,NOT RATED,Drama,157,"'Aamir Khan', 'Soha Ali Khan', 'Siddharth'"
8.4,Jodaeiye Nader az Simin,PG-13,Drama,123,"'Peyman Moaadi', 'Leila Hatami', 'Sareh Bayat'"
8.4,Citizen Kane,APPROVED,Drama,119,"'Orson Welles', 'Joseph Cotten', 'Dorothy Comingore'"
8.4,Aliens,R,Action,137,"'Sigorney Weaver', 'Michael Biehn', 'Carrie Henn'"
8.4,Vertigo,APPROVED,Mystery,128,"'James Stewart', 'Kim Novak', 'Barbara Bel Geddes'"
8.4,Oldeuboi,R,Drama,120,"'Min-sik Choi', 'Ji-tae Y', 'Hye-jeong Kang'"
8.4,Once Upon a Time in America,R,Crime,229,"'Robert De Niro', 'James Woods', 'Elizabeth McGovern'"
8.4,Double Indemnity,PASSED,Crime,107,"'Fred MacMrray', 'Barbara Stanwyck', 'Edward G. Robinson'"
8.4,Star Wars: Episode VI - Return of the Jedi,PG,Action,134,"'Mark Hamill', 'Harrison Ford', 'Carrie Fisher'"
8.4,Toy Story 3,G,Animation,103,"'Tom Hanks', 'Tim Allen', 'Joan Csack'"
8.4,Braveheart,R,Action,177,"'Mel Gibson', 'Sophie Marcea', 'Patrick McGoohan'"
8.4,To Kill a Mockingbird,NOT RATED,Drama,129,"'Gregory Peck', 'John Megna', 'Frank Overton'"
8.4,Requiem for a Dream,R,Drama,102,"'Ellen Brstyn', 'Jared Leto', 'Jennifer Connelly'"
8.4,Lawrence of Arabia,PG,Adventure,216,"""Peter O'Toole"", 'Alec Ginness', 'Anthony Qinn'"
8.4,A Clockwork Orange,X,Crime,136,"'Malcolm McDowell', 'Patrick Magee', 'Michael Bates'"
8.4,Bicycle Thieves,NOT RATED,Drama,93,"'Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell'"
8.4,The Kid,NOT RATED,Comedy,68,"'Charles Chaplin', 'Edna Prviance', 'Jackie Coogan'"
8.4,Swades,NOT RATED,Drama,189,"'Shah Rkh Khan', 'Gayatri Joshi', 'Kishori Balal'"
8.4,Reservoir Dogs,R,Crime,99,"'Harvey Keitel', 'Tim Roth', 'Michael Madsen'"
8.4,Eternal Sunshine of the Spotless Mind,R,Drama,108,"'Jim Carrey', 'Kate Winslet', 'Tom Wilkinson'"
8.4,Taxi Driver,R,Crime,113,"'Robert De Niro', 'Jodie Foster', 'Cybill Shepherd'"
8.4,Dilwale Dulhania Le Jayenge,NOT RATED,Comedy,181,"'Shah Rkh Khan', 'Kajol', 'Amrish Pri'"
8.4,Singin' in the Rain,APPROVED,Comedy,103,"'Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds'"
8.4,All About Eve,APPROVED,Drama,138,"'Bette Davis', 'Anne Baxter', 'George Sanders'"
8.4,Yojimbo,UNRATED,Action,110,"'Toshir\xf4 Mifne', 'Eijir\xf4 T\xf4no', 'Tatsya Nakadai'"
8.4,The Sting,PG,Comedy,129,"'Pal Newman', 'Robert Redford', 'Robert Shaw'"
8.4,Rashomon,UNRATED,Crime,88,"'Toshir\xf4 Mifne', 'Machiko Ky\xf4', 'Masayki Mori'"
8.4,Amadeus,R,Biography,160,"'F. Mrray Abraham', 'Tom Hlce', 'Elizabeth Berridge'"
8.3,The Treasure of the Sierra Madre,NOT RATED,Action,126,"'Hmphrey Bogart', 'Walter Hston', 'Tim Holt'"
8.3,Monty Python and the Holy Grail,PG,Adventure,91,"'Graham Chapman', 'John Cleese', 'Eric Idle'"
8.3,Full Metal Jacket,R,Drama,116,"'Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio"""
8.3,The Apartment,APPROVED,Comedy,125,"'Jack Lemmon', 'Shirley MacLaine', 'Fred MacMrray'"
8.3,Ikiru,NOT RATED,Drama,143,"'Takashi Shimra', 'Nobo Kaneko', ""Shin'ichi Himori"""
8.3,The Third Man,NOT RATED,Film-Noir,93,"'Orson Welles', 'Joseph Cotten', 'Alida Valli'"
8.3,Snatch.,R,Comedy,102,"'Jason Statham', 'Brad Pitt', 'Benicio Del Toro'"
8.3,For a Few Dollars More,APPROVED,Western,132,"'Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volont\xe9'"
8.3,Metropolis,NOT RATED,Drama,153,"'Brigitte Helm', 'Alfred Abel', 'Gstav Fr\xf6hlich'"
8.3,Dil Chahta Hai,NOT RATED,Comedy,183,"'Aamir Khan', 'Saif Ali Khan', 'Akshaye Khanna'"
8.3,2001: A Space Odyssey,G,Mystery,160,"'Keir Dllea', 'Gary Lockwood', 'William Sylvester'"
8.3,Some Like It Hot,NOT RATED,Comedy,120,"'Marilyn Monroe', 'Tony Crtis', 'Jack Lemmon'"
8.3,L.A. Confidential,R,Crime,138,"'Kevin Spacey', 'Rssell Crowe', 'Gy Pearce'"
8.3,Batman Begins,PG-13,Action,140,"'Christian Bale', 'Michael Caine', 'Ken Watanabe'"
8.3,Inglourious Basterds,R,Adventure,153,"'Brad Pitt', 'Diane Krger', 'Eli Roth'"
8.3,Scarface,R,Crime,170,"'Al Pacino', 'Michelle Pfeiffer', 'Steven Baer'"
8.3,Mr. Smith Goes to Washington,NOT RATED,Drama,129,"'James Stewart', 'Jean Arthr', 'Clade Rains'"
8.3,Toy Story,G,Animation,81,"'Tom Hanks', 'Tim Allen', 'Don Rickles'"
8.3,Indiana Jones and the Last Crusade,PG-13,Action,127,"'Harrison Ford', 'Sean Connery', 'Alison Doody'"
8.3,Unforgiven,R,Western,131,"'Clint Eastwood', 'Gene Hackman', 'Morgan Freeman'"
8.3,The Great Escape,UNRATED,Adventure,172,"'Steve McQeen', 'James Garner', 'Richard Attenborogh'"
8.3,Jagten,R,Drama,115,"'Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp'"
8.3,On the Waterfront,NOT RATED,Crime,108,"'Marlon Brando', 'Karl Malden', 'Lee J. Cobb'"
8.3,The General,UNRATED,Action,107,"'Bster Keaton', 'Marion Mack', 'Glen Cavender'"
8.3,Raging Bull,R,Biography,129,"'Robert De Niro', 'Cathy Moriarty', 'Joe Pesci'"
8.3,Downfall,R,Biography,156,"'Brno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes'"
8.3,Up,PG,Animation,96,"'Edward Asner', 'Jordan Nagai', 'John Ratzenberger'"
8.3,Wild Strawberries,UNRATED,Drama,91,"'Victor Sj\xf6str\xf6m', 'Bibi Andersson', 'Ingrid Thlin'"
8.3,The Gold Rush,NOT RATED,Adventure,95,"'Charles Chaplin', 'Mack Swain', 'Tom Mrray'"
8.3,Ran,R,Action,162,"'Tatsya Nakadai', 'Akira Terao', 'Jinpachi Nez'"
8.3,Chinatown,R,Drama,130,"'Jack Nicholson', 'Faye Dnaway', 'John Hston'"
8.3,My Neighbor Totoro,G,Animation,86,"'Hitoshi Takagi', 'Noriko Hidaka', 'Chika Sakamoto'"
8.3,Judgment at Nuremberg,NOT RATED,Drama,186,"'Spencer Tracy', 'Brt Lancaster', 'Richard Widmark'"
8.3,Barfi!,NOT RATED,Adventure,151,"'Ranbir Kapoor', 'Priyanka Chopra', 'Ileana'"
8.3,The Seventh Seal,NOT RATED,Drama,96,"'Max von Sydow', 'Gnnar Bj\xf6rnstrand', 'Bengt Ekerot'"
8.3,Heat,R,Action,170,"'Al Pacino', 'Robert De Niro', 'Val Kilmer'"
8.3,Pan's Labyrinth,R,Drama,118,"'Ivana Baqero', 'Ariadna Gil', 'Sergi L\xf3pez'"
8.3,The Bridge on the River Kwai,PG,Adventure,161,"'William Holden', 'Alec Ginness', 'Jack Hawkins'"
8.3,Die Hard,R,Action,131,"'Brce Willis', 'Alan Rickman', 'Bonnie Bedelia'"
8.3,Good Will Hunting,R,Drama,126,"'Robin Williams', 'Matt Damon', 'Ben Affleck'"
8.3,The Wages of Fear,NOT RATED,Adventure,131,"'Yves Montand', 'Charles Vanel', 'Peter van Eyck'"
8.3,The Secret in Their Eyes,R,Drama,129,"'Ricardo Dar\xedn', 'Soledad Villamil', 'Pablo Rago'"
8.3,Lagaan: Once Upon a Time in India,PG,Adventure,224,"'Aamir Khan', 'Gracy Singh', 'Rachel Shelley'"
8.2,The Wolf of Wall Street,R,Biography,180,"'Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie'"
8.2,It Happened One Night,UNRATED,Comedy,105,"'Clark Gable', 'Cladette Colbert', 'Walter Connolly'"
8.2,Blade Runner,R,Sci-Fi,117,"'Harrison Ford', 'Rtger Haer', 'Sean Yong'"
8.2,Warrior,PG-13,Drama,140,"'Tom Hardy', 'Nick Nolte', 'Joel Edgerton'"
8.2,Howl's Moving Castle,PG,Animation,119,"'Chieko Baish\xf4', 'Takya Kimra', 'Tatsya Gash\xfbin'"
8.2,The Elephant Man,PG,Biography,124,"'Anthony Hopkins', 'John Hrt', 'Anne Bancroft'"
8.2,Rebecca,NOT RATED,Mystery,130,"'Larence Olivier', 'Joan Fontaine', 'George Sanders'"
8.2,Incendies,R,Drama,139,"'Lbna Azabal', 'M\xe9lissa D\xe9sormeax-Polin', 'Maxim Gadette'"
8.2,"Lock, Stock and Two Smoking Barrels",R,Comedy,107,"'Jason Flemyng', 'Dexter Fletcher', 'Nick Moran'"
8.2,V for Vendetta,R,Action,132,"'Hgo Weaving', 'Natalie Portman', 'Rpert Graves'"
8.2,The Big Lebowski,R,Comedy,117,"'Jeff Bridges', 'John Goodman', 'Jlianne Moore'"
8.2,Cool Hand Luke,PG,Crime,126,"'Pal Newman', 'George Kennedy', 'Strother Martin'"
8.2,Relatos salvajes,R,Comedy,122,"'Dar\xedo Grandinetti', 'Mar\xeda Marll', 'M\xf3nica Villa'"
8.2,Casino,R,Biography,178,"'Robert De Niro', 'Sharon Stone', 'Joe Pesci'"
8.2,Gone with the Wind,G,Drama,238,"'Clark Gable', 'Vivien Leigh', 'Thomas Mitchell'"
8.2,Gone Girl,R,Drama,149,"'Ben Affleck', 'Rosamnd Pike', 'Neil Patrick Harris'"
8.2,The Best Years of Our Lives,PASSED,Drama,172,"'Fredric March', 'Dana Andrews', 'Myrna Loy'"
8.2,How to Train Your Dragon,PG,Animation,98,"'Jay Barchel', 'Gerard Btler', 'Christopher Mintz-Plasse'"
8.2,Diabolique,UNRATED,Horror,116,"'Simone Signoret', 'V\xe9ra Clozot', 'Pal Merisse'"
8.2,Gran Torino,R,Drama,116,"'Clint Eastwood', 'Bee Vang', 'Christopher Carley'"
8.2,Rush,R,Action,123,"'Daniel Br\xfchl', 'Chris Hemsworth', 'Olivia Wilde'"
8.2,Into the Wild,R,Adventure,148,"'Emile Hirsch', 'Vince Vaghn', 'Catherine Keener'"
8.2,My Sassy Girl,NOT RATED,Comedy,123,"'Tae-hyn Cha', 'Gianna Jn', 'In-mn Kim'"
8.2,The Deer Hunter,R,Drama,182,"'Robert De Niro', 'Christopher Walken', 'John Cazale'"
8.2,Mary and Max,NOT RATED,Animation,92,"'Toni Collette', 'Philip Seymor Hoffman', 'Eric Bana'"
8.2,Hachi: A Dog's Tale,G,Drama,93,"'Richard Gere', 'Joan Allen', 'Cary-Hiroyki Tagawa'"
8.2,The Maltese Falcon,NOT RATED,Crime,100,"'Hmphrey Bogart', 'Mary Astor', 'Gladys George'"
8.2,A Beautiful Mind,PG-13,Biography,135,"'Rssell Crowe', 'Ed Harris', 'Jennifer Connelly'"
8.2,Dial M for Murder,PG,Crime,105,"'Ray Milland', 'Grace Kelly', 'Robert Cmmings'"
8.2,Trainspotting,R,Drama,94,"'Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller'"
8.2,Tae Guk Gi: The Brotherhood of War,R,Action,140,"'Dong-gn Jang', 'Bin Won', 'En-j Lee'"
8.2,Persona,NOT RATED,Drama,83,"'Bibi Andersson', 'Liv Ullmann', 'Margaretha Krook'"
8.2,Touch of Evil,PG-13,Crime,95,"'Charlton Heston', 'Orson Welles', 'Janet Leigh'"
8.2,Fargo,R,Crime,98,"'William H. Macy', 'Frances McDormand', 'Steve Bscemi'"
8.2,The Avengers,PG-13,Action,143,"'Robert Downey Jr.', 'Chris Evans', 'Scarlett Johansson'"
8.2,The 400 Blows,NOT RATED,Crime,99,"'Jean-Pierre L\xe9ad', 'Albert R\xe9my', 'Claire Marier'"
8.2,The Princess Bride,PG,Adventure,98,"'Cary Elwes', 'Mandy Patinkin', 'Robin Wright'"
8.2,Hotel Rwanda,PG-13,Drama,121,"'Don Cheadle', 'Sophie Okonedo', 'Joaqin Phoenix'"
8.2,Stalker,NOT RATED,Drama,163,"'Alisa Freyndlikh', 'Aleksandr Kaydanovskiy', 'Anatoliy Solonitsyn'"
8.2,The Battle of Algiers,NOT RATED,Crime,121,"'Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi'"
8.2,Underground,NOT RATED,Comedy,167,"'Predrag Manojlovic', 'Lazar Ristovski', 'Mirjana Jokovic'"
8.2,Fanny and Alexander,R,Drama,188,"'Bertil Gve', 'Pernilla Allwin', 'Kristina Adolphson'"
8.2,Network,R,Drama,121,"'Faye Dnaway', 'William Holden', 'Peter Finch'"
8.2,The Thing,R,Horror,109,"'Krt Rssell', 'Wilford Brimley', 'Keith David'"
8.2,Butch Cassidy and the Sundance Kid,,Biography,110,"'Pal Newman', 'Robert Redford', 'Katharine Ross'"
8.2,The Grapes of Wrath,NOT RATED,Drama,129,"'Henry Fonda', 'Jane Darwell', 'John Carradine'"
8.2,"Black Cat, White Cat",R,Comedy,127,"'Bajram Severdzan', 'Srdjan Todorovic', 'Branka Katic'"
8.2,Life of Brian,R,Comedy,94,"'Graham Chapman', 'John Cleese', 'Michael Palin'"
8.2,The Sixth Sense,PG-13,Drama,107,"'Brce Willis', 'Haley Joel Osment', 'Toni Collette'"
8.2,Finding Nemo,G,Animation,100,"'Albert Brooks', 'Ellen DeGeneres', 'Alexander Gold'"
8.2,Nausicaa of the Valley of the Wind,PG,Animation,117,"'Smi Shimamoto', 'Mahito Tsjimra', 'Hisako Ky\xf4da'"
8.1,Kingsman: The Secret Service,R,Action,129,"'Colin Firth', 'Taron Egerton', 'Samel L. Jackson'"
8.1,Platoon,R,Drama,120,"'Charlie Sheen', 'Tom Berenger', 'Willem Dafoe'"
8.1,Guardians of the Galaxy,PG-13,Action,121,"'Chris Pratt', 'Vin Diesel', 'Bradley Cooper'"
8.1,In the Name of the Father,R,Biography,133,"'Daniel Day-Lewis', 'Pete Postlethwaite', 'Alison Crosbie'"
8.1,Kill Bill: Vol. 1,R,Action,111,"'Uma Thrman', 'David Carradine', 'Daryl Hannah'"
8.1,No Country for Old Men,R,Crime,122,"'Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin'"
8.1,Le Samourai,PG,Crime,101,"'Alain Delon', 'Nathalie Delon', 'Fran\xe7ois P\xe9rier'"
8.1,12 Years a Slave,R,Biography,134,"'Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender'"
8.1,La leggenda del pianista sull'oceano,R,Drama,165,"'Tim Roth', 'Pritt Taylor Vince', 'Bill Nnn'"
8.1,8 1/2,NOT RATED,Drama,138,"'Marcello Mastroianni', 'Anok Aim\xe9e', 'Cladia Cardinale'"
8.1,Ben-Hur,G,Adventure,212,"'Charlton Heston', 'Jack Hawkins', 'Stephen Boyd'"
8.1,Amores Perros,R,Drama,154,"'Emilio Echevarr\xeda', 'Gael Garc\xeda Bernal', 'Goya Toledo'"
8.1,Stand by Me,R,Adventure,89,"'Wil Wheaton', 'River Phoenix', 'Corey Feldman'"
8.1,What Ever Happened to Baby Jane?,APPROVED,Drama,134,"'Bette Davis', 'Joan Crawford', 'Victor Bono'"
8.1,Annie Hall,PG,Comedy,93,"'Woody Allen', 'Diane Keaton', 'Tony Roberts'"
8.1,The Imitation Game,PG-13,Biography,114,"'Benedict Cmberbatch', 'Keira Knightley', 'Matthew Goode'"
8.1,Laura,APPROVED,Film-Noir,88,"'Gene Tierney', 'Dana Andrews', 'Clifton Webb'"
8.1,Departures,PG-13,Drama,130,"'Masahiro Motoki', 'Ry\xf4ko Hirose', 'Tstom Yamazaki'"
8.1,Infernal Affairs,R,Crime,101,"'Andy La', 'Tony Chi Wai Leng', 'Anthony Cha-Sang Wong'"
8.1,There Will Be Blood,R,Drama,158,"'Daniel Day-Lewis', 'Pal Dano', 'Ciar\xe1n Hinds'"
8.1,The Grand Budapest Hotel,R,Adventure,99,"'Ralph Fiennes', 'F. Mrray Abraham', 'Mathie Amalric'"
8.1,La Strada,NOT RATED,Drama,108,"'Anthony Qinn', 'Gilietta Masina', 'Richard Basehart'"
8.1,Sin City,R,Crime,124,"'Mickey Rorke', 'Clive Owen', 'Brce Willis'"
8.1,Memories of Murder,UNRATED,Crime,132,"'Kang-ho Song', 'Sang-kyng Kim', 'Roe-ha Kim'"
8.1,Donnie Darko,R,Drama,113,"'Jake Gyllenhaal', 'Jena Malone', 'Mary McDonnell'"
8.1,Who's Afraid of Virginia Woolf?,TV-MA,Drama,131,"'Elizabeth Taylor', 'Richard Brton', 'George Segal'"
8.1,Gandhi,PG,Biography,191,"'Ben Kingsley', 'John Gielgd', 'Candice Bergen'"
8.1,Solaris,PG,Drama,167,"'Natalya Bondarchk', 'Donatas Banionis', 'J\xfcri J\xe4rvet'"
8.1,Harry Potter and the Deathly Hallows: Part 2,PG-13,Adventure,130,"'Daniel Radcliffe', 'Emma Watson', 'Rpert Grint'"
8.1,"Paris, Texas",R,Drama,147,"'Harry Dean Stanton', 'Nastassja Kinski', 'Dean Stockwell'"
8.1,The Wizard of Oz,PASSED,Adventure,102,"'Jdy Garland', 'Frank Morgan', 'Ray Bolger'"
8.1,3-Iron,R,Crime,88,"'Seng-yeon Lee', 'Hyn-kyoon Lee', 'Hyk-ho Kwon'"
8.1,Boyhood,R,Drama,165,"'Ellar Coltrane', 'Patricia Arqette', 'Ethan Hawke'"
8.1,Million Dollar Baby,PG-13,Drama,132,"'Hilary Swank', 'Clint Eastwood', 'Morgan Freeman'"
8.1,The Last Picture Show,R,Drama,118,"'Timothy Bottoms', 'Jeff Bridges', 'Cybill Shepherd'"
8.1,Strangers on a Train,APPROVED,Crime,101,"'Farley Granger', 'Robert Walker', 'Rth Roman'"
8.1,Cat on a Hot Tin Roof,APPROVED,Drama,108,"'Elizabeth Taylor', 'Pal Newman', 'Brl Ives'"
8.1,La Dolce Vita,NOT RATED,Comedy,174,"'Marcello Mastroianni', 'Anita Ekberg', 'Anok Aim\xe9e'"
8.1,Chungking Express,PG-13,Drama,98,"'Brigitte Lin', 'Takeshi Kaneshiro', 'Tony Chi Wai Leng'"
8.1,The Night of the Hunter,APPROVED,Crime,92,"'Robert Mitchm', 'Shelley Winters', 'Lillian Gish'"
8.1,La Haine,NOT RATED,Crime,98,"'Vincent Cassel', 'Hbert Kond\xe9', 'Sa\xefd Taghmaoi'"
8.1,Yip Man,R,Action,106,"'Donnie Yen', 'Simon Yam', 'Si-Wong Fan'"
8.1,High Noon,PG,Western,85,"'Gary Cooper', 'Grace Kelly', 'Thomas Mitchell'"
8.1,Notorious,APPROVED,Drama,101,"'Cary Grant', 'Ingrid Bergman', 'Clade Rains'"
8.1,Before Sunrise,R,Drama,105,"'Ethan Hawke', 'Jlie Delpy', 'Andrea Eckert'"
8.1,Elite Squad: The Enemy Within,UNRATED,Action,115,"'Wagner Mora', 'Irandhir Santos', 'Andr\xe9 Ramiro'"
8.1,The Bourne Ultimatum,PG-13,Action,115,"'Matt Damon', '\xc9dgar Ram\xedrez', 'Joan Allen'"
