,City,Colors Reported,Shape Reported,State,Time,Location
30,South Kingstown,,SPHERE,RI,7/1/1944 20:00,"South Kingstown , RI"
31,North Tampa,,CYLINDER,FL,7/15/1944 13:00,"North Tampa , FL"
32,Ft. Lee,,CIGAR,VA,1/1/1945 12:00,"Ft. Lee , VA"
33,Salinas AFB,,DISK,CA,6/1/1945 12:00,"Salinas AFB , CA"
34,Jasper,,FIREBALL,FL,6/1/1945 13:30,"Jasper , FL"
35,Winston-Salem,,DISK,NC,6/7/1945 7:00,"Winston-Salem , NC"
36,Portsmouth,RED,FORMATION,VA,7/10/1945 1:30,"Portsmouth , VA"
37,Dallas,,SPHERE,TX,7/15/1945 14:00,"Dallas , TX"
38,Huntington Beach,,DISK,CA,8/8/1945 12:00,"Huntington Beach , CA"
39,San Antonio,,OVAL,NM,8/16/1945 11:30,"San Antonio , NM"
40,Roswell,,SPHERE,NM,12/15/1945 2:00,"Roswell , NM"
41,New York City,,DISK,NY,1/8/1946 2:00,"New York City , NY"
42,Merced,,SPHERE,CA,2/1/1946 17:00,"Merced , CA"
43,Alice,,DISK,TX,3/15/1946 15:30,"Alice , TX"
44,Blairsden,GREEN,SPHERE,CA,6/30/1946 19:00,"Blairsden , CA"
45,Index,,FIREBALL,WA,6/30/1946 21:00,"Index , WA"
46,South Portland,,OVAL,ME,7/1/1946 13:30,"South Portland , ME"
47,Oak Lawn,,FORMATION,IL,9/12/1946 0:00,"Oak Lawn , IL"
48,Dome,,FLASH,AZ,9/30/1946 20:30,"Dome , AZ"
49,Conroe,,OTHER,TX,1/10/1947 20:00,"Conroe , TX"
50,Syracuse,,DISK,NY,2/20/1947 22:15,"Syracuse , NY"
51,Miami,,OTHER,FL,4/15/1947 14:00,"Miami , FL"
52,San Deigo,,TRIANGLE,CA,4/15/1947 23:00,"San Deigo , CA"
53,Minden,,,LA,6/1/1947 0:00,"Minden , LA"
54,Cleveland,,LIGHT,OH,6/1/1947 2:30,"Cleveland , OH"
55,Espanola,,CIRCLE,NM,6/1/1947 17:00,"Espanola , NM"
56,Oroville,,,CA,6/1/1947 18:00,"Oroville , CA"
57,Oakmont,,,PA,6/13/1947 20:18,"Oakmont , PA"
58,Winona,,DISK,MN,6/15/1947 10:00,"Winona , MN"
59,Gackle,,OTHER,ND,6/15/1947 14:00,"Gackle , ND"
60,Madison,,DISK,WI,6/15/1947 18:00,"Madison , WI"
61,Hayward,,CIRCLE,CA,6/20/1947 12:00,"Hayward , CA"
62,Tacoma,,OTHER,WA,6/30/1947 0:00,"Tacoma , WA"
63,Baltimore,,OVAL,MD,6/30/1947 18:00,"Baltimore , MD"
64,Cashmere,,FORMATION,WA,7/1/1947 20:00,"Cashmere , WA"
65,Maywood,,DISK,CA,7/1/1947 20:00,"Maywood , CA"
66,Wexford,BLUE,,PA,7/1/1947 20:00,"Wexford , PA"
67,Sioux Falls,,,SD,7/4/1947 0:00,"Sioux Falls , SD"
68,Seattle,,OVAL,WA,7/4/1947 17:30,"Seattle , WA"
69,Dell Rapids,,,SD,7/5/1947 0:00,"Dell Rapids , SD"
70,Philadelphia,,DISK,PA,7/5/1947 11:30,"Philadelphia , PA"
71,Roswell,,,NM,7/7/1947 0:00,"Roswell , NM"
72,Johnston City,,DISK,IL,7/9/1947 20:00,"Johnston City , IL"
73,Roswell,,,NM,7/11/1947 0:00,"Roswell , NM"
74,Syracuse,,CIGAR,NY,7/14/1947 10:30,"Syracuse , NY"
75,Richmond,,CIRCLE,CA,7/14/1947 11:00,"Richmond , CA"
76,Las Vegas,,DISK,NV,7/15/1947 10:00,"Las Vegas , NV"
77,Keeneyville,,FORMATION,IL,7/15/1947 12:00,"Keeneyville , IL"
78,Clintwood,,CYLINDER,VA,7/15/1947 15:00,"Clintwood , VA"
79,Hazelton,,DISK,ID,7/15/1947 15:00,"Hazelton , ID"
80,Minneapolis,,DISK,MN,7/15/1947 17:00,"Minneapolis , MN"
81,Morehouse,,CYLINDER,MO,7/15/1947 21:00,"Morehouse , MO"
82,San Jose,BLUE,CHEVRON,CA,7/15/1947 21:00,"San Jose , CA"
83,Raton,,OVAL,NM,7/20/1947 22:00,"Raton , NM"
84,Modesto,BLUE,DISK,CA,8/8/1947 22:00,"Modesto , CA"
85,Green Valley,,,WI,8/10/1947 20:00,"Green Valley , WI"
86,Henrietta,,LIGHT,OK,8/12/1947 1:00,"Henrietta , OK"
87,Saranac Lake,,DISK,NY,8/12/1947 22:00,"Saranac Lake , NY"
88,Proctor,,CIGAR,OK,8/15/1947 20:15,"Proctor , OK"
89,Whitmore Lake,,CIGAR,MI,12/24/1947 21:00,"Whitmore Lake , MI"
90,Kelseyville,,DISK,CA,4/30/1948 12:00,"Kelseyville , CA"
91,Scipio,RED,SPHERE,IN,5/10/1948 19:00,"Scipio , IN"
92,Borger,,DISK,TX,6/15/1948 16:00,"Borger , TX"
93,Baltimore,,OVAL,MD,6/30/1948 0:00,"Baltimore , MD"
94,Jim Ridge,,,WV,6/30/1948 8:00,"Jim Ridge , WV"
95,Ojai,,LIGHT,CA,7/15/1948 22:00,"Ojai , CA"
96,New York City,,CIRCLE,NY,8/1/1948 2:00,"New York City , NY"
97,Conshohocken,,OVAL,PA,8/15/1948 12:00,"Conshohocken , PA"
98,Sharpsburg,,CIRCLE,MD,12/12/1948 23:30,"Sharpsburg , MD"
99,Seattle,,DISK,WA,4/10/1949 15:00,"Seattle , WA"
100,Oak Ridge,,OTHER,WV,5/1/1949 14:00,"Oak Ridge , WV"
101,Grays,,LIGHT,SC,5/15/1949 6:30,"Grays , SC"
102,Los Angeles,,CIRCLE,CT,6/4/1949 10:00,"Los Angeles , CT"
103,Anchorage,,DISK,AK,6/10/1949 21:00,"Anchorage , AK"
104,Knoxville,,OTHER,TN,6/30/1949 15:00,"Knoxville , TN"
105,Salem,,CIGAR,OR,6/30/1949 21:00,"Salem , OR"
106,Fairbanks,,DISK,AK,7/1/1949 11:00,"Fairbanks , AK"
107,Marion,,FORMATION,AL,7/1/1949 16:00,"Marion , AL"
108,Booneville,,,MS,7/15/1949 20:30,"Booneville , MS"
109,Excelsior,,CIRCLE,MN,8/15/1949 0:00,"Excelsior , MN"
110,Mill Valley,,LIGHT,CA,8/15/1949 21:00,"Mill Valley , CA"
111,Tarrant City,ORANGE,CIRCLE,AL,8/15/1949 22:00,"Tarrant City , AL"
112,Steilacoom,,DISK,WA,8/25/1949 19:00,"Steilacoom , WA"
113,Mt Gilead,,CIRCLE,OH,9/15/1949 21:00,"Mt Gilead , OH"
114,Post,,DISK,TX,9/15/1949 21:00,"Post , TX"
115,San Marcos,,CYLINDER,TX,10/10/1949 20:30,"San Marcos , TX"
116,Lackland AFB,,LIGHT,TX,10/10/1949 21:00,"Lackland AFB , TX"
117,Baltimore,,CIGAR,MD,10/15/1949 20:00,"Baltimore , MD"
118,Mount Hope,,,WV,1/1/1950 22:00,"Mount Hope , WV"
119,New York City,,OVAL,NY,1/2/1950 0:00,"New York City , NY"
120,Roswell,RED,,NM,3/22/1950 0:00,"Roswell , NM"
121,Arkansas,,DISK,AR,4/15/1950 8:00,"Arkansas , AR"
122,Waynesborough,,DISK,VA,4/15/1950 14:00,"Waynesborough , VA"
123,Fort Lewis,,TRIANGLE,WA,5/12/1950 14:00,"Fort Lewis , WA"
124,Crowder,,,MS,6/1/1950 0:00,"Crowder , MS"
125,Philadelphia,,DISK,MS,6/1/1950 16:00,"Philadelphia , MS"
126,Pittsburgh,,OVAL,PA,6/1/1950 20:00,"Pittsburgh , PA"
127,Kensington,,OVAL,MD,6/7/1950 20:00,"Kensington , MD"
128,Kansas City,,DISK,MO,6/8/1950 10:00,"Kansas City , MO"
129,Napa,GREEN,DISK,CA,6/10/1950 0:00,"Napa , CA"
130,Grosse Pointe Park,,OVAL,MI,6/15/1950 13:00,"Grosse Pointe Park , MI"
131,Bonifay,,DISK,FL,6/15/1950 20:00,"Bonifay , FL"
132,Fort Worth,,DISK,TX,6/15/1950 20:00,"Fort Worth , TX"
133,Booneville,,DISK,MS,6/20/1950 10:00,"Booneville , MS"
134,Galveston,,SPHERE,TX,6/20/1950 17:00,"Galveston , TX"
135,Lac Du Flambeau,,DISK,WI,6/30/1950 16:00,"Lac Du Flambeau , WI"
136,Florence,,DISK,CO,6/30/1950 17:30,"Florence , CO"
137,Florence,,LIGHT,CO,6/30/1950 17:30,"Florence , CO"
138,Coeur d'Alene,ORANGE,CIGAR,ID,7/2/1950 13:00,"Coeur d'Alene , ID"
139,Bay St. Louis,,LIGHT,MS,7/2/1950 21:00,"Bay St. Louis , MS"
140,East Palestine,,LIGHT,OH,7/10/1950 20:30,"East Palestine , OH"
141,Newark,,SPHERE,NJ,7/15/1950 21:30,"Newark , NJ"
142,Los Padres National Forest,,FORMATION,CA,7/15/1950 23:00,"Los Padres National Forest , CA"
143,Smithport,,DISK,PA,7/20/1950 21:30,"Smithport , PA"
144,Louisville,,OTHER,KY,8/1/1950 4:00,"Louisville , KY"
145,Stanfield,,DISK,OR,8/15/1950 14:00,"Stanfield , OR"
146,Pikeville,,DISK,KY,10/1/1950 11:00,"Pikeville , KY"
147,Sandy Hook,,TRIANGLE,NJ,10/15/1950 15:00,"Sandy Hook , NJ"
148,Half Moon Bay,,OTHER,CA,12/12/1950 22:00,"Half Moon Bay , CA"
149,Palm Springs,,CIGAR,CA,1/20/1951 4:30,"Palm Springs , CA"
150,Thompsonville,,DISK,CT,2/3/1951 22:00,"Thompsonville , CT"
151,Los Angeles,,DISK,CA,2/15/1951 11:00,"Los Angeles , CA"
152,Irving,BLUE,DISK,KS,4/15/1951 0:30,"Irving , KS"
153,Fort Sill,,OVAL,OK,5/15/1951 3:00,"Fort Sill , OK"
154,Oklahoma,,CIGAR,OK,6/1/1951 19:00,"Oklahoma , OK"
155,Jasper,,OVAL,NC,6/3/1951 13:00,"Jasper , NC"
156,Mount Pinos,,DISK,CA,6/6/1951 2:00,"Mount Pinos , CA"
157,Greenville,GREEN,DISK,MS,6/15/1951 20:30,"Greenville , MS"
158,Jackson Heights,,DISK,NY,6/30/1951 7:00,"Jackson Heights , NY"
159,Birmingham,,,AL,6/30/1951 19:00,"Birmingham , AL"
160,Otis Orchards,,DISK,WA,7/1/1951 3:00,"Otis Orchards , WA"
161,Atlanta,,,GA,7/1/1951 14:00,"Atlanta , GA"
162,Calaveras County,,DISK,CA,7/3/1951 3:00,"Calaveras County , CA"
163,Green River,GREEN,SPHERE,WY,7/3/1951 12:00,"Green River , WY"
164,Provo,BLUE,DISK,UT,7/10/1951 23:30,"Provo , UT"
165,Spokane Valley,,SPHERE,WA,7/15/1951 14:00,"Spokane Valley , WA"
166,Sunland,,CIRCLE,CA,8/10/1951 1:00,"Sunland , CA"
167,Altoona,,DISK,PA,8/15/1951 13:00,"Altoona , PA"
168,Jacksonville,,DISK,FL,10/15/1951 20:00,"Jacksonville , FL"
169,Holloman AFB,,CIRCLE,NM,11/15/1951 6:00,"Holloman AFB , NM"
170,Salt Lake City,,,UT,1/1/1952 0:00,"Salt Lake City , UT"
171,Binghamton,,DISK,NY,2/10/1952 21:00,"Binghamton , NY"
172,Nellis AFB,,DISK,NV,2/17/1952 18:00,"Nellis AFB , NV"
173,Chicago,,DISK,IL,4/15/1952 13:00,"Chicago , IL"
174,Greenville,ORANGE,TRIANGLE,TX,4/15/1952 16:00,"Greenville , TX"
175,Pittsburgh,,CYLINDER,PA,5/15/1952 10:15,"Pittsburgh , PA"
176,Allyn,,DISK,WA,5/15/1952 20:00,"Allyn , WA"
177,Dousman,,,WI,6/1/1952 11:00,"Dousman , WI"
178,Norfolk,RED,FIREBALL,VA,6/1/1952 22:00,"Norfolk , VA"
179,Evergreen,,DISK,CO,6/6/1952 13:00,"Evergreen , CO"
180,Chicago,,CIRCLE,IL,6/10/1952 12:00,"Chicago , IL"
181,Fortville,,DISK,IN,6/13/1952 7:30,"Fortville , IN"
182,Luke Airforce Base,,EGG,AZ,6/15/1952 0:00,"Luke Airforce Base , AZ"
183,Piedra Blanka,,CIGAR,CA,6/15/1952 0:00,"Piedra Blanka , CA"
184,Jacksonville,,TRIANGLE,FL,6/15/1952 21:00,"Jacksonville , FL"
185,Maywood,,CIRCLE,CA,6/15/1952 23:00,"Maywood , CA"
186,Lansing,,OTHER,MI,6/21/1952 22:00,"Lansing , MI"
187,Chester,,OVAL,PA,6/22/1952 17:45,"Chester , PA"
188,Cheyenne,,DISK,WY,6/30/1952 0:00,"Cheyenne , WY"
189,Pecos,,DISK,TX,6/30/1952 3:00,"Pecos , TX"
190,Barksdale AFB,,,LA,6/30/1952 6:00,"Barksdale AFB , LA"
191,Miami,,LIGHT,FL,6/30/1952 9:00,"Miami , FL"
192,New York City,,DISK,NY,6/30/1952 13:00,"New York City , NY"
193,Auburn,,OVAL,WA,6/30/1952 18:30,"Auburn , WA"
194,Miami,,DISK,FL,6/30/1952 21:00,"Miami , FL"
195,Miami,,DISK,FL,6/30/1952 21:00,"Miami , FL"
196,Miami,,LIGHT,FL,6/30/1952 21:00,"Miami , FL"
197,Sebeka,,OTHER,MN,7/1/1952 15:00,"Sebeka , MN"
198,Detroit,,SPHERE,MI,7/1/1952 22:00,"Detroit , MI"
199,Tacoma,,SPHERE,WA,7/5/1952 16:00,"Tacoma , WA"
200,Evergreen,,CIRCLE,CO,7/7/1952 10:00,"Evergreen , CO"
201,Arlington,,DISK,TX,7/7/1952 13:00,"Arlington , TX"
202,Arlington,GREEN,OVAL,VA,7/13/1952 21:00,"Arlington , VA"
203,Wilmington,,DISK,CA,7/15/1952 12:00,"Wilmington , CA"
204,,,DISK,CA,7/15/1952 12:30,
205,Litchfield,,OTHER,PA,7/15/1952 13:00,"Litchfield , PA"
206,South Gate,,CIRCLE,CA,7/15/1952 14:00,"South Gate , CA"
207,North Bend,,OTHER,WA,7/15/1952 18:30,"North Bend , WA"
208,New York City,,OTHER,NY,7/15/1952 19:00,"New York City , NY"
209,Okolona,,OVAL,MS,7/22/1952 9:30,"Okolona , MS"
210,Tacoma,,SPHERE,WA,7/25/1952 16:00,"Tacoma , WA"
211,Manville,,SPHERE,RI,7/30/1952 15:00,"Manville , RI"
212,Tampa,,OVAL,FL,8/1/1952 21:30,"Tampa , FL"
213,Smithson's Valley,,CIGAR,TX,8/15/1952 17:00,"Smithson's Valley , TX"
214,Prairie Grove,,DISK,AR,8/15/1952 17:30,"Prairie Grove , AR"
215,Hamilton,,LIGHT,OH,8/15/1952 22:15,"Hamilton , OH"
216,Philadelphia,,CIRCLE,PA,9/9/1952 20:00,"Philadelphia , PA"
217,Norridgewock,,DISK,ME,9/15/1952 14:00,"Norridgewock , ME"
218,Kansas City,,DISK,MO,10/1/1952 12:00,"Kansas City , MO"
219,Richland,,CIRCLE,WA,10/15/1952 21:00,"Richland , WA"
220,Chicago,,OTHER,IL,12/6/1952 19:00,"Chicago , IL"
221,Camp McCoy,,CYLINDER,WI,12/30/1952 12:00,"Camp McCoy , WI"
222,Nebraska,,,NE,1/1/1953 0:00,"Nebraska , NE"
223,Oklahoma,,CIGAR,TX,1/1/1953 14:00,"Oklahoma , TX"
224,Palm Springs,,,CA,3/15/1953 0:00,"Palm Springs , CA"
225,Haverhill,,CHEVRON,MA,4/1/1953 15:00,"Haverhill , MA"
226,Cambridge,RED,SPHERE,MA,4/1/1953 18:00,"Cambridge , MA"
227,Chariton,,OTHER,IA,4/10/1953 13:00,"Chariton , IA"
228,Los Angeles,,FIREBALL,CA,4/15/1953 12:00,"Los Angeles , CA"
229,Midwest City,YELLOW,FIREBALL,OK,4/15/1953 16:00,"Midwest City , OK"
230,Jamison,,CIGAR,PA,4/30/1953 16:00,"Jamison , PA"
231,Kingman,,,AZ,5/20/1953 8:00,"Kingman , AZ"
232,Fresno,,,CA,6/1/1953 21:00,"Fresno , CA"
233,Roswell,,,NM,6/15/1953 0:00,"Roswell , NM"
234,Wenatchee,,DISK,WA,6/15/1953 12:00,"Wenatchee , WA"
235,Fort Worth,,SPHERE,TX,6/15/1953 13:00,"Fort Worth , TX"
236,North Bend,,CIRCLE,WA,6/15/1953 18:00,"North Bend , WA"
237,Galveston,,CIGAR,TX,6/17/1953 7:30,"Galveston , TX"
238,Cleveland,RED,FIREBALL,OH,6/30/1953 0:00,"Cleveland , OH"
239,Kelso,,OVAL,WA,6/30/1953 15:00,"Kelso , WA"
240,Colorado Springs,,DISK,CO,7/1/1953 5:30,"Colorado Springs , CO"
241,,BLUE,DISK,MT,7/4/1953 14:00,
242,Ogallala,,OTHER,NE,7/4/1953 21:00,"Ogallala , NE"
243,Nashville,,CYLINDER,TN,7/15/1953 13:00,"Nashville , TN"
244,Dublin,,CONE,IN,7/17/1953 22:00,"Dublin , IN"
245,Berkeley,,FIREBALL,MO,8/1/1953 12:00,"Berkeley , MO"
246,"San Bernadino Mtns, Church Camp",,DISK,CA,8/1/1953 14:00,"San Bernadino Mtns, Church Camp , CA"
247,Vallejo,,LIGHT,CA,8/7/1953 21:00,"Vallejo , CA"
248,Louisville,,CIRCLE,KY,8/15/1953 11:00,"Louisville , KY"
249,Artesia,ORANGE,OTHER,NM,8/15/1953 19:00,"Artesia , NM"
250,Bowleys Quarters,,SPHERE,MD,8/15/1953 21:00,"Bowleys Quarters , MD"
251,Homer,,,PA,9/15/1953 14:00,"Homer , PA"
252,Mauriceville,,DISK,TX,10/15/1953 14:00,"Mauriceville , TX"
253,New Orleans,,OVAL,LA,10/31/1953 19:00,"New Orleans , LA"
254,Cicero,,OTHER,IL,11/13/1953 20:00,"Cicero , IL"
255,Keansburg,,CIRCLE,NJ,11/15/1953 3:00,"Keansburg , NJ"
256,Pendleton,GREEN,DISK,IN,11/21/1953 22:30,"Pendleton , IN"
257,Lackland Air Force Base,,DISK,TX,11/25/1953 4:25,"Lackland Air Force Base , TX"
258,Brunswick,,,ME,1/1/1954 0:00,"Brunswick , ME"
259,Lakeland,,DISK,FL,1/1/1954 1:00,"Lakeland , FL"
260,Souix City,,CIRCLE,IA,1/1/1954 22:00,"Souix City , IA"
261,Santa Monica,,LIGHT,CT,1/15/1954 20:00,"Santa Monica , CT"
262,Fairbanks,,,AK,2/1/1954 2:00,"Fairbanks , AK"
263,Burney,,DISK,CA,2/15/1954 19:30,"Burney , CA"
264,Stanford Campus,,DISK,CA,4/1/1954 22:00,"Stanford Campus , CA"
265,Corvallis,,DIAMOND,OR,5/15/1954 12:00,"Corvallis , OR"
266,Quincy,,DISK,IL,5/26/1954 4:30,"Quincy , IL"
267,Houston,,DISK,TX,6/1/1954 0:00,"Houston , TX"
268,Ovid,,DISK,NY,6/1/1954 6:00,"Ovid , NY"
269,Springfield,,CYLINDER,IL,6/1/1954 8:00,"Springfield , IL"
270,El Cerrito,,LIGHT,CA,6/1/1954 19:00,"El Cerrito , CA"
271,Toledo,,DISK,OH,6/1/1954 19:00,"Toledo , OH"
272,Norfolk,,DISK,VA,6/1/1954 20:00,"Norfolk , VA"
273,Philadelphia,,DISK,PA,6/1/1954 20:00,"Philadelphia , PA"
274,Fish Canyon,,LIGHT,CA,6/1/1954 23:00,"Fish Canyon , CA"
275,Atlanta,,DISK,GA,6/6/1954 10:00,"Atlanta , GA"
276,Estes Park,,CIGAR,CO,6/10/1954 20:00,"Estes Park , CO"
277,Glenburn,,,ME,6/11/1954 2:00,"Glenburn , ME"
278,Palm Beach,,LIGHT,CA,6/15/1954 11:00,"Palm Beach , CA"
279,Claymont,,DISK,DE,6/15/1954 11:45,"Claymont , DE"
280,Ellington AFB,,DISK,TX,6/15/1954 16:30,"Ellington AFB , TX"
281,Lorton,,OTHER,VA,6/23/1954 2:00,"Lorton , VA"
282,Langley Air Force Base,,CIRCLE,VA,6/23/1954 23:00,"Langley Air Force Base , VA"
283,Thrifty,,CIRCLE,TX,6/25/1954 3:30,"Thrifty , TX"
284,Marion,,CIRCLE,VA,6/30/1954 0:00,"Marion , VA"
285,Methuen,,,MA,6/30/1954 0:00,"Methuen , MA"
286,Hawthorne,,LIGHT,CA,6/30/1954 12:00,"Hawthorne , CA"
287,Pasadena,,CIRCLE,CA,6/30/1954 15:00,"Pasadena , CA"
288,St. Louis Airport,RED,OVAL,MO,7/1/1954 21:00,"St. Louis Airport , MO"
289,Los Angeles,RED,CIRCLE,CA,7/1/1954 22:00,"Los Angeles , CA"
290,Walnut Creek,,,CA,7/7/1954 20:00,"Walnut Creek , CA"
291,West Columbia,,FORMATION,SC,7/7/1954 22:00,"West Columbia , SC"
292,Morroco,,VARIOUS,IN,7/12/1954 17:30,"Morroco , IN"
293,Philadelphia,,DISK,PA,7/15/1954 11:00,"Philadelphia , PA"
294,Greenfield,,CIGAR,IN,7/15/1954 14:00,"Greenfield , IN"
295,Kansas City,,CHEVRON,KS,7/15/1954 21:00,"Kansas City , KS"
296,Oakdale,,DISK,NY,7/15/1954 21:00,"Oakdale , NY"
297,Bridge Hampton,,LIGHT,NY,7/15/1954 22:00,"Bridge Hampton , NY"
298,Farmingdale,,OVAL,NY,8/1/1954 12:00,"Farmingdale , NY"
299,Dyer,,TRIANGLE,IN,8/1/1954 17:00,"Dyer , IN"
300,Canton,,DISK,PA,8/1/1954 21:00,"Canton , PA"
301,North Hollywood,,LIGHT,CA,8/1/1954 22:00,"North Hollywood , CA"
302,Puyallup,,OVAL,WA,8/15/1954 21:00,"Puyallup , WA"
303,Geneva,,DISK,NY,9/1/1954 13:00,"Geneva , NY"
304,Beaumont,RED,DISK,TX,9/9/1954 12:30,"Beaumont , TX"
305,Palmer Township,,OTHER,PA,9/15/1954 9:30,"Palmer Township , PA"
306,Flatwoods,,CIRCLE,WV,10/1/1954 19:00,"Flatwoods , WV"
307,Blanco,,OTHER,TX,10/15/1954 16:30,"Blanco , TX"
308,Manistee,,CIRCLE,MI,10/15/1954 21:30,"Manistee , MI"
309,Denver,,FIREBALL,CO,11/1/1954 18:30,"Denver , CO"
310,Thelma,,DISK,TX,11/14/1954 1:00,"Thelma , TX"
311,Red Bank,ORANGE,CIRCLE,NJ,12/15/1954 23:10,"Red Bank , NJ"
312,Yucaipa,,OVAL,CA,12/16/1954 16:50,"Yucaipa , CA"
313,New York City,,LIGHT,NY,2/15/1955 19:00,"New York City , NY"
314,Holbrook,YELLOW,EGG,MA,5/1/1955 15:00,"Holbrook , MA"
315,Warrington,,FIREBALL,FL,5/15/1955 3:00,"Warrington , FL"
316,Homaland,,CIRCLE,CA,6/1/1955 0:00,"Homaland , CA"
317,Bagley,,CIRCLE,MN,6/1/1955 2:00,"Bagley , MN"
318,Cincinnati,,DISK,OH,6/1/1955 15:29,"Cincinnati , OH"
319,Martinez,,CIRCLE,CA,6/1/1955 17:00,"Martinez , CA"
320,Clinton,,EGG,TN,6/1/1955 20:30,"Clinton , TN"
321,Pensacola,,LIGHT,FL,6/6/1955 1:00,"Pensacola , FL"
322,South St. Paul,,DISK,MN,6/15/1955 0:00,"South St. Paul , MN"
323,Terre Haute,ORANGE,CIRCLE,IN,6/15/1955 0:00,"Terre Haute , IN"
324,Missouri,,LIGHT,MO,6/15/1955 4:30,"Missouri , MO"
325,Youngstown,,,PA,6/15/1955 8:00,"Youngstown , PA"
326,Daytona Beach,,FIREBALL,FL,6/15/1955 21:00,"Daytona Beach , FL"
327,Rantoul,,LIGHT,IL,6/17/1955 7:00,"Rantoul , IL"
328,Beach Haven Park,,DISK,NJ,6/23/1955 7:00,"Beach Haven Park , NJ"
329,Quartz Hill,,DISK,CA,6/30/1955 0:00,"Quartz Hill , CA"
330,Lubbock,,CIGAR,TX,6/30/1955 13:00,"Lubbock , TX"
331,Dumas,,LIGHT,TX,6/30/1955 21:00,"Dumas , TX"
332,Morehead City,,DISK,NC,6/30/1955 21:00,"Morehead City , NC"
333,Carnation,,DISK,WA,7/1/1955 14:00,"Carnation , WA"
334,Dierks,,CIGAR,AR,7/1/1955 22:00,"Dierks , AR"
335,Woodland Park,,OVAL,CO,7/15/1955 14:00,"Woodland Park , CO"
336,Ringold,,LIGHT,LA,7/15/1955 22:00,"Ringold , LA"
337,Newtown Square,,CIRCLE,PA,8/6/1955 19:00,"Newtown Square , PA"
338,Independence,,FIREBALL,MO,8/8/1955 1:00,"Independence , MO"
339,Madisonville,,LIGHT,KY,8/14/1955 1:00,"Madisonville , KY"
340,Eagle Pass,,CIGAR,TX,8/15/1955 0:01,"Eagle Pass , TX"
341,Covina,,DISK,CA,8/17/1955 21:00,"Covina , CA"
342,Bullhead,,DISK,AZ,9/10/1955 23:00,"Bullhead , AZ"
343,Mono Lake,,CIRCLE,CA,10/1/1955 22:00,"Mono Lake , CA"
344,West Covina,GREEN,,CA,10/9/1955 18:00,"West Covina , CA"
345,Rhinebeck,,LIGHT,NY,10/15/1955 20:00,"Rhinebeck , NY"
346,Weirton,,DISK,WV,1/1/1956 5:30,"Weirton , WV"
347,Petaluma,,OVAL,CA,3/1/1956 13:00,"Petaluma , CA"
348,Bowie,,DISK,MD,3/20/1956 20:00,"Bowie , MD"
349,Hampton,,SPHERE,MN,3/22/1956 17:30,"Hampton , MN"
350,Canton,,CIGAR,OH,5/1/1956 12:00,"Canton , OH"
351,Pine castle AFB,,LIGHT,FL,5/15/1956 20:00,"Pine castle AFB , FL"
352,Ada,,CIRCLE,OK,5/17/1956 10:22,"Ada , OK"
353,Belton,,OTHER,MO,6/1/1956 19:00,"Belton , MO"
354,Memphis,ORANGE,CYLINDER,TN,6/1/1956 20:00,"Memphis , TN"
